"","MINE_ID","YR_QTR","MINE_NAME","VIOLATOR_NAME","v_count_qtr","v_lag3","qtr_degree"
"1",1518608,2003.25,"W-1 Auger","WCA Coal Augering Inc",1,0,NA
"2",1518608,2003.75,"W-1 Auger","WCA Coal Augering Inc",2,1,NA
"3",1518608,2005.25,"W-1 Auger","WCA Coal Augering Inc",1,3,NA
"4",1518608,2006.75,"W-1 Auger","WCA Coal Augering Inc",6,4,NA
"5",3609197,2004.25,"3200","Black Hawk Mining Inc",1,0,NA
"6",3609197,2005.25,"3200","Black Hawk Mining Inc",1,1,NA
"7",3609197,2006.25,"3200","Black Hawk Mining Inc",1,2,NA
"8",3609197,2009.25,"3200","Black Hawk Mining Inc",2,3,NA
"9",3609197,2009.5,"3200","Black Hawk Mining Inc",1,5,NA
"10",3609197,2010.75,"3200","Black Hawk Mining Inc",2,6,NA
"11",4601020,2001.5,"Scotch Hill Mine","Mangus Coal Inc",1,0,NA
"12",4601020,2002,"Scotch Hill Mine","Mangus Coal Inc",1,1,NA
"13",4601020,2002.5,"Scotch Hill Mine","Mangus Coal Inc",3,2,NA
"14",4601162,2000.25,"Adrian Deep Mine No 1","Glady Fork Mining Inc",25,0,NA
"15",4601162,2000.5,"Adrian Deep Mine No 1","Glady Fork Mining Inc",23,25,3
"16",4601162,2000.75,"Adrian Deep Mine No 1","Glady Fork Mining Inc",23,48,NA
"17",4601162,2001,"Adrian Deep Mine No 1","Glady Fork Mining Inc",17,71,1
"18",4601162,2001.25,"Adrian Deep Mine No 1","Glady Fork Mining Inc",10,88,3
"19",4601162,2001.5,"Adrian Deep Mine No 1","Glady Fork Mining Inc",40,98,6
"20",4601162,2001.75,"Adrian Deep Mine No 1","Glady Fork Mining Inc",60,138,5
"21",4601162,2002,"Adrian Deep Mine No 1","Glady Fork Mining Inc",13,198,3
"22",4601162,2002.25,"Adrian Deep Mine No 1","Glady Fork Mining Inc",48,211,NA
"23",4601162,2002.5,"Adrian Deep Mine No 1","Glady Fork Mining Inc",33,259,1
"24",4601162,2002.75,"Adrian Deep Mine No 1","Glady Fork Mining Inc",58,292,3
"25",4601162,2003,"Adrian Deep Mine No 1","Glady Fork Mining Inc",40,350,NA
"26",4601162,2003.25,"Adrian Deep Mine No 1","Glady Fork Mining Inc",18,390,NA
"27",4601162,2003.5,"Adrian Deep Mine No 1","Glady Fork Mining Inc",8,408,1
"28",4601162,2003.75,"Adrian Deep Mine No 1","Glady Fork Mining Inc",11,416,2
"29",4601162,2004,"Adrian Deep Mine No 1","Glady Fork Mining Inc",11,427,2
"30",4601162,2005.75,"Adrian Deep Mine No 1","Glady Fork Mining Inc",1,438,NA
"31",4601162,2006,"Adrian Deep Mine No 1","Glady Fork Mining Inc",1,439,NA
"32",4601271,2000.25,"Harris No 1","Eastern Associated Coal LLC",14,0,14
"33",4601271,2000.5,"Harris No 1","Eastern Associated Coal LLC",17,14,7
"34",4601271,2000.75,"Harris No 1","Eastern Associated Coal LLC",15,31,17
"35",4601271,2001,"Harris No 1","Eastern Associated Coal LLC",13,46,10
"36",4601271,2001.25,"Harris No 1","Eastern Associated Coal LLC",3,59,15
"37",4601271,2001.5,"Harris No 1","Eastern Associated Coal LLC",16,62,8
"38",4601271,2001.75,"Harris No 1","Eastern Associated Coal LLC",3,78,12
"39",4601271,2002,"Harris No 1","Eastern Associated Coal LLC",14,81,11
"40",4601271,2002,"Harris No 1","ESS/Micon",2,81,11
"41",4601271,2002.25,"Harris No 1","Eastern Associated Coal LLC",8,97,18
"42",4601271,2002.5,"Harris No 1","Eastern Associated Coal LLC",10,105,19
"43",4601271,2002.75,"Harris No 1","Eastern Associated Coal LLC",9,115,8
"44",4601271,2003,"Harris No 1","Eastern Associated Coal LLC",14,124,19
"45",4601271,2003.25,"Harris No 1","Eastern Associated Coal LLC",19,138,10
"46",4601271,2003.5,"Harris No 1","Eastern Associated Coal LLC",7,157,8
"47",4601271,2003.75,"Harris No 1","Eastern Associated Coal LLC",12,164,31
"48",4601271,2004,"Harris No 1","Eastern Associated Coal LLC",17,176,8
"49",4601271,2004.25,"Harris No 1","Eastern Associated Coal LLC",25,193,8
"50",4601271,2004.5,"Harris No 1","Eastern Associated Coal LLC",28,218,9
"51",4601271,2004.75,"Harris No 1","Eastern Associated Coal LLC",23,246,12
"52",4601271,2005,"Harris No 1","Eastern Associated Coal LLC",32,269,3
"53",4601271,2005.25,"Harris No 1","Eastern Associated Coal LLC",22,301,7
"54",4601271,2005.5,"Harris No 1","Eastern Associated Coal LLC",29,323,7
"55",4601271,2005.75,"Harris No 1","Bedford Well Drilling & Pump",1,352,8
"56",4601271,2005.75,"Harris No 1","Eastern Associated Coal LLC",33,352,8
"57",4601271,2006,"Harris No 1","Eastern Associated Coal LLC",35,386,10
"58",4601271,2006.25,"Harris No 1","Eastern Associated Coal LLC",32,421,9
"59",4601271,2006.5,"Harris No 1","Eastern Associated Coal LLC",32,453,6
"60",4601271,2006.5,"Harris No 1","Minova USA Inc.",1,453,6
"61",4601271,2006.75,"Harris No 1","Eastern Associated Coal LLC",82,486,13
"62",4601271,2006.75,"Harris No 1","North American Drillers",1,486,13
"63",4601271,2007,"Harris No 1","Coalfield Services, Inc",1,569,13
"64",4601271,2007,"Harris No 1","Eastern Associated Coal LLC",93,569,13
"65",4601271,2007.25,"Harris No 1","Eastern Associated Coal LLC",66,663,16
"66",4601271,2007.5,"Harris No 1","Eastern Associated Coal LLC",153,729,7
"67",4601271,2007.5,"Harris No 1","Zap Technical Services",2,729,7
"68",4601271,2007.75,"Harris No 1","Eastern Associated Coal LLC",85,884,19
"69",4601271,2008,"Harris No 1","Eastern Associated Coal LLC",123,969,13
"70",4601271,2008.25,"Harris No 1","Eastern Associated Coal LLC",207,1092,5
"71",4601271,2008.5,"Harris No 1","Eastern Associated Coal LLC",182,1299,9
"72",4601271,2008.75,"Harris No 1","Eastern Associated Coal LLC",193,1481,13
"73",4601271,2009,"Harris No 1","Eastern Associated Coal LLC",88,1674,7
"74",4601271,2009.25,"Harris No 1","Eastern Associated Coal LLC",61,1762,9
"75",4601271,2009.5,"Harris No 1","Eastern Associated Coal LLC",88,1823,8
"76",4601271,2009.75,"Harris No 1","Eastern Associated Coal LLC",83,1911,5
"77",4601271,2010,"Harris No 1","Eastern Associated Coal LLC",85,1994,5
"78",4601271,2010.25,"Harris No 1","Eastern Associated Coal LLC",95,2079,6
"79",4601271,2010.5,"Harris No 1","Eastern Associated Coal LLC",57,2174,5
"80",4601271,2010.75,"Harris No 1","Eastern Associated Coal LLC",23,2231,3
"81",4601272,2004.75,"Wharton No 4 Mine","Raleigh Steel Construction Inc",3,0,NA
"82",4601272,2005,"Wharton No 4 Mine","Eastern Associated Coal Corp",5,3,NA
"83",4601286,2000.25,"Windsor Mine","Windsor Coal Company",104,0,8
"84",4601286,2000.5,"Windsor Mine","Windsor Coal Company",100,104,6
"85",4601286,2000.75,"Windsor Mine","David Stanley Consultants LLC",2,204,7
"86",4601286,2000.75,"Windsor Mine","Windsor Coal Company",150,204,7
"87",4601286,2001,"Windsor Mine","Windsor Coal Company",80,356,5
"88",4601286,2001.25,"Windsor Mine","Windsor Coal Company",76,436,7
"89",4601286,2001.5,"Windsor Mine","Windsor Coal Company",14,512,1
"90",4601286,2001.75,"Windsor Mine","Windsor Coal Company",100,526,8
"91",4601286,2002,"Windsor Mine","Windsor Coal Company",102,626,3
"92",4601286,2002.25,"Windsor Mine","Howard E Stuber Inc",1,728,1
"93",4601286,2002.25,"Windsor Mine","Windsor Coal Company",115,728,1
"94",4601286,2002.5,"Windsor Mine","Windsor Coal Company",63,844,5
"95",4601286,2002.75,"Windsor Mine","Windsor Coal Company",81,907,5
"96",4601286,2003,"Windsor Mine","Windsor Coal Company",1,988,NA
"97",4601286,2004,"Windsor Mine","Merit Contracting Inc",1,989,NA
"98",4601286,2004,"Windsor Mine","Windsor Coal Company",1,989,NA
"99",4601286,2004.5,"Windsor Mine","Merit Contracting Inc",2,991,NA
"100",4601308,2000.75,"West Preparation Plant","Laurel Run Mining Company",2,0,NA
"101",4601308,2000.75,"West Preparation Plant","Sevenson Enviro Services Inc",3,0,NA
"102",4601308,2008.5,"West Preparation Plant","Sevenson Enviro Services Inc",1,5,NA
"103",4601308,2008.75,"West Preparation Plant","Sevenson Enviro Services Inc",1,6,NA
"104",4601318,2000.25,"Robinson Run No 95","Consolidation Coal Company",131,0,6
"105",4601318,2000.5,"Robinson Run No 95","Consolidation Coal Company",135,131,4
"106",4601318,2000.5,"Robinson Run No 95","The Davis Company LLC",1,131,4
"107",4601318,2000.75,"Robinson Run No 95","Consolidation Coal Company",114,267,8
"108",4601318,2001,"Robinson Run No 95","Consolidation Coal Company",145,381,8
"109",4601318,2001.25,"Robinson Run No 95","Consolidation Coal Company",212,526,7
"110",4601318,2001.5,"Robinson Run No 95","Vanco Welding & Repair Inc",3,738,10
"111",4601318,2001.5,"Robinson Run No 95","Consolidation Coal Company",154,738,10
"112",4601318,2001.5,"Robinson Run No 95","M A Heston Inc",1,738,10
"113",4601318,2001.5,"Robinson Run No 95","Zeni Drilling Company",2,738,10
"114",4601318,2001.75,"Robinson Run No 95","Consolidation Coal Company",202,898,20
"115",4601318,2001.75,"Robinson Run No 95","D & G Machine Co Inc",2,898,20
"116",4601318,2002,"Robinson Run No 95","Consolidation Coal Company",154,1102,10
"117",4601318,2002.25,"Robinson Run No 95","Avery Mine Sales",1,1256,13
"118",4601318,2002.25,"Robinson Run No 95","Consolidation Coal Company",155,1256,13
"119",4601318,2002.5,"Robinson Run No 95","Consolidation Coal Company",165,1412,14
"120",4601318,2002.5,"Robinson Run No 95","Soles Electric Company",2,1412,14
"121",4601318,2002.75,"Robinson Run No 95","Consolidation Coal Company",253,1579,21
"122",4601318,2003,"Robinson Run No 95","Broadwater & Bender Contractin",4,1832,19
"123",4601318,2003,"Robinson Run No 95","Consolidation Coal Company",232,1832,19
"124",4601318,2003,"Robinson Run No 95","Daybrook Development Co",1,1832,19
"125",4601318,2003,"Robinson Run No 95","Laurita Excavating, Inc",1,1832,19
"126",4601318,2003.25,"Robinson Run No 95","Assad Iron & Metals Inc",3,2070,22
"127",4601318,2003.25,"Robinson Run No 95","Consolidation Coal Company",237,2070,22
"128",4601318,2003.25,"Robinson Run No 95","Conveyor Services Corp",1,2070,22
"129",4601318,2003.25,"Robinson Run No 95","E & S Coal Co Inc",2,2070,22
"130",4601318,2003.5,"Robinson Run No 95","Boyce Graybeal & Sayre Inc",1,2313,13
"131",4601318,2003.5,"Robinson Run No 95","Consolidation Coal Company",152,2313,13
"132",4601318,2003.75,"Robinson Run No 95","Consolidation Coal Company",122,2466,20
"133",4601318,2003.75,"Robinson Run No 95","B G S Construction Inc",1,2466,20
"134",4601318,2003.75,"Robinson Run No 95","Ind Cont Of Fairmont Inc",1,2466,20
"135",4601318,2003.75,"Robinson Run No 95","Central Contracting Inc",2,2466,20
"136",4601318,2003.75,"Robinson Run No 95","Atlas Railroad Construction Co",1,2466,20
"137",4601318,2003.75,"Robinson Run No 95","Conveyor Services Corp",2,2466,20
"138",4601318,2003.75,"Robinson Run No 95","Beckwith Machinery Co",1,2466,20
"139",4601318,2004,"Robinson Run No 95","Central Contracting Inc",1,2596,10
"140",4601318,2004,"Robinson Run No 95","Consolidation Coal Company",140,2596,10
"141",4601318,2004,"Robinson Run No 95","Ind Cont Of Fairmont Inc",1,2596,10
"142",4601318,2004,"Robinson Run No 95","Mcclure Sales Co",2,2596,10
"143",4601318,2004.25,"Robinson Run No 95","Consolidation Coal Company",147,2740,12
"144",4601318,2004.25,"Robinson Run No 95","Forquer Contracting LLC",1,2740,12
